descriptions,General,User,Fourier
,General,DateTime,14-08-2025 19:32:02
,General,Origin,"Software revision: mpc_redes_obs_fis.sdf, mpc_redes_obs_fis.rta\nVariable description: mpc_redes_obs_fis.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Save Measurement Buffer)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,45.00133021
,Measurement,StartTimestamp,40.3231436
,Measurement,StopTimestamp,85.32447381
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,45001
trace_types,4,4,4,4,4,4,4,4
trace_names,,In1,In1,In1,turnaroundTime,In1,In1,In1
trace_units,,,,,,,,
devices,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService
description,,,,,,,,
displayidentifier,,,,,,,,
path,,Model Root/pos_est,Model Root/vel_est,Model Root/u_act,Task Info/Timer Task 1,Model Root/ref rad,Model Root/pos,Model Root/pert
flags,,0,0,0,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
,0.0069995023742634999,0.17022705078125,-0.00140380859375,-0.2109375,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.0079996941528293064,0.17022705078125,-0.00140380859375,-0.2109375,6.3600000000000001e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.009000245941159335,0.17022705078125,-0.00140380859375,-0.2109375,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.010000357714837094,0.17022705078125,-0.00140380859375,-0.2109375,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.011000269482416059,0.17022705078125,-0.00140380859375,-0.2109375,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.012000381256100923,0.17022705078125,-0.00140380859375,-0.2109375,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.012999893005364527,0.17022705078125,-0.00140380859375,-0.2109375,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.014000484796142132,0.17022705078125,-0.00140380859375,-0.2109375,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.014999916546628356,0.17022705078125,-0.0037841796875,-0.21337890625,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.015999868316647792,0.17022705078125,-0.0037841796875,-0.21337890625,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.017000460107418291,0.17022705078125,-0.0037841796875,-0.21337890625,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.017999971862792563,0.17022705078125,-0.0037841796875,-0.21337890625,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.019000483648675015,0.17022705078125,-0.0037841796875,-0.21337890625,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.020000595422359879,0.17022705078125,-0.0037841796875,-0.21337890625,6.3999999999999997e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.021000227178952002,0.17022705078125,-0.0037841796875,-0.21337890625,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.022000138946530967,0.17022705078125,-0.0037841796875,-0.21337890625,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.023000650732420524,0.17022705078125,-0.0037841796875,-0.21337890625,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.024000162487787691,0.17022705078125,-0.0037841796875,-0.21337890625,6.3999999999999997e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.025000674273677248,0.17022705078125,-0.0037841796875,-0.21337890625,6.5599999999999999e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.026000066027826563,0.17022705078125,-0.0037841796875,-0.21337890625,6.3600000000000001e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.027000297802729278,0.170166015625,-0.006591796875,-0.21337890625,6.3999999999999997e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.028000409576414143,0.170166015625,-0.006591796875,-0.21337890625,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.029000841363519214,0.170166015625,-0.006591796875,-0.21337890625,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.030000193109124496,0.170166015625,-0.006591796875,-0.21337890625,6.3600000000000001e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.031000344885249831,0.170166015625,-0.006591796875,-0.21337890625,6.3600000000000001e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.032000456658934695,0.170166015625,-0.006591796875,-0.21337890625,6.3999999999999997e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.033000888446039767,0.170166015625,-0.006591796875,-0.21337890625,6.5599999999999999e-06,0.17453292519943295,0.17027186745530618,0.204833984375
